SiteID,hasShop,shopBrand,accuracy,Tokens,usedPhotoDate,usedPhotoFileName,isStreetViewPhoto
44001637,True,Nisa,80,2329,2020-11-01,Nisa.png,False
44009495,False,,90,2329,2023-04-01,12 Main St,True
44001460,False,null,100,2845,2023-02,13.png,False
44000865,True,Tesco Express,100,2071,2024-10-01,Screenshot 2024-01-12 at 16.10.56.png,True
44010324,True,,50,2845,2023-06-01,Google Street View,True
44002333,True,Shell Select,100,2587,2024-11-01,Screenshot 2024-04-05 at 19.30.19.png,False
44001104,True,Budgens,95,2329,2022-05-01,Screenshot 2024-01-15 at 16.02.50.png,False
44007730,True,Londis,100,2845,2022-06-01,Essar,False
44002141,True,Esso On the Run,95,1813,2024-01-01,Screenshot 2024-06-08 at 16.55.31.png,False
44006781,True,Spar,95,1297,2022-04-01,Screenshot 2024-01-29 at 20.09.39.png,False
44003902,True,Esso On the Run,90,1039,2023-08-01,image.png,True
44003202,False,,95,1813,2018-02-01,1-Castle Garage.png,True
44011003,True,Spar,95,1297,2022-01-01,Screenshot 2024-05-05 at 10.46.51.png,False
44009602,True,Shell Select,95,2845,2020-12-01,Screenshot 2024-04-29 at 8.58.25 PM.png,False
44003218,True,Londis,95,523,2022-05-01,image.png,True
44008517,True,Spar,95,1039,2022-04-01,Screenshot 2024-04-25 at 14.31.36.png,False
44009474,True,Nisa,80,1555,2023-05-01,Screenshot 2024-02-16 at 21.29.51.png,True
44003223,False,,90,523,2022-06-01,Balaclava Garage.png,True
44008170,True,Shell Select,95,2845,2024-02-01,Shell.png,False
44002817,True,Tesco Express,95,1039,2020-11-01,2020-11-tesco.png,True
44009828,True,EUROSPAR,100,2845,2023-10-01,10.png,False
44002532,True,Tesco Express,95,1297,2024-07-01,screenshot_1.png,True
44003947,True,Morrisons Daily,100,2329,2023-08-01,4.png,True
44010870,False,null,100,1297,2022-08-01,77535794-097a-4223-a227-f25e8791efb0.png,True
44001012,True,Spar,80,2329,2023-07-01,Screenshot 2024-02-29 at 14.28.38.png,False
44001222,True,Spar,90,2845,2019-04-01,2,False
44001122,True,murco,95,2845,2018-12-01,2.png,False
44009646,True,Londis,90,2587,2020-04-01,7,False
44006032,True,Spar,95,2845,2023-11-01,Screenshot 2024-05-03 at 16.23.16.png,False
44000861,True,Spar,95,2845,2023-06-01,Screenshot 2024-01-03 at 18.04.00.png,False
44007128,True,Morrisons Daily,100,2071,2024-08-04,Screenshot 2024-08-04 at 14.23.11.png,True
44004333,True,Londis,100,2845,2020-03-01,5479153447913361984_0_1583170120302.jpg,True
44000423,True,Supermarke,90,523,2022-05-01,image.png,True
44001723,True,Nisa,70,1297,2017-07-01,screenshot_1.png,False
44005619,True,Londis,95,1813,2023-03-01,Esso,True
44002239,True,BP Shop,100,2845,2023-09-01,bp.png,True
44010318,False,null,100,1039,2023-09-01,Screenshot 2024-01-01 at 18.01.35.png,False
44005555,True,Spar,90,1813,2022-04-01,Esso,False
44009195,True,Morrisons Daily,100,523,2024-06-01,04354597-356a-470b-83f5-95807763e464.jpg,True
44000223,True,Londis,100,1813,2021-08-01,Screenshot 2024-01-08 at 14.29.26.png,False
44003032,True,Premier,100,1813,2021-03-01,Texaco,False
44003456,True,Budgens,100,2329,2022-09-01,screenshot_2024-01-17_at_10.46.31.png,False
44008880,True,NETHERBRAE,95,523,2021-10-01,image.png,True
44002740,False,,100,2845,2024-05-01,12.png,True
44004706,True,Gulf,90,1297,2024-06-01,Screenshot 2024-06-17 at 18.02.31.png,False
44004772,True,Spar,85,1039,2022-06-01,Screenshot 2024-05-17 at 17.25.38.png,False
