siteid,latitude,longitude,heading,pitch,metric_2,place_id,place_type,processed
44000001,57.922131,-6.847888,-171.4223167,-2.637447359,1.0,ChIJKe5wwdKbjUgRMewVKbzBJJY,gas_station,Yes
44000002,55.781232,-6.249336,-118.5513196,-1.547123327,2.0,ChIJ_0Ksx1RbikgR7TKqL4RsXyg,gas_station,Yes
44000003,56.471456,-5.707952,168.8564286,2.451513005,1.0,ChIJt9Nq-Ufgi0gRK53lWOWUSF0,gas_station,Yes
44000004,56.620758,-6.069472,168.2067724,-2.288562547,2.0,ChIJwx57gYzxi0gRnrIVoXRIYxI,gas_station,Yes
44000006,57.567783,-4.578935,115.408832,0.540077141,0.0,ChIJZY0RFoSnj0gRfv8LVvxeojY,gas_station,Yes
44000007,57.679119,-4.299923,121.0548391,-0.810454171,1.0,ChIJh58aLDmZj0gRMjpksM9QrHE,gas_station,Yes
44000008,57.600141,-4.444237,241.96,-0.5,1.0,ChIJcSZcgFegj0gRktyrQQCSaGM,gas_station,Yes
44000011,55.776915,-2.340813,38.64601333,1.456590087,1.0,ChIJucr9OoNrh0gRaOMKoVPB2ls,gas_station,Yes
44000012,54.618487,-1.062597,-177.7730471,-4.911642082,1.0,ChIJtWuhNQjwfkgRxOnjSGHvOA4,car_repair,Yes
44000015,54.063713,-0.381986,61.74798574,-3.081899483,1.0,ChIJU3guaz61eEgRtAypOFIFBc4,convenience_store,Yes
44000020,50.840148,0.138541,56.39,4.22,1.0,ChIJl1Vh_dV630cR03k0QRALEvg,gas_station,Yes
44000021,51.484709,-3.681949,6.358841485,-3.972616105,1.0,ChIJy-fVmZFvbkgRSv1WL2jrXsM,gas_station,Yes
44000022,55.116653,-3.355742,311.76,-5.24,1.0,ChIJ7RYa10tIfUgRjmjS-x2DwG4,gas_station,Yes
44000025,54.25618,-5.944175,12.79189817,0.380427372,1.0,ChIJb6aQle8iYUgRim3eYB7npbI,gas_station,Yes
44000032,51.485128,0.104342,72.9,-3.08,1.0,ChIJA1oLN-Cv2EcRVpF3-chj280,gas_station,Yes
44000034,56.484979,-2.949851,-67.57563083,-4.339587264,1.0,ChIJQZ3PDgFdhkgRDTEDUhmmAgw,gas_station,Yes
44000035,52.596179,-2.201949,-131.1293765,5.982169537,1.0,ChIJHeOKLlaDcEgRDBtUycqErA8,gas_station,Yes
44000036,51.515353,0.079196,-62.08659423,4.926037445,1.0,ChIJUw5PhB2m2EcRgFABtIfaNwc,gas_station,Yes
44000037,53.513073,-1.140864,94.97990981,-1.809957037,1.0,ChIJHetHhjQMeUgRFhvLVPeo8DU,gas_station,Yes
44000039,53.268043,-1.355223,45.8808267,3.555778828,2.0,,,Yes
44000040,51.418974,-1.508907,76.299751,-0.513125241,1.0,ChIJ-3NDglerdkgRUfltYNId2QA,gas_station,Yes
44000041,55.82001,-4.041981,73.99480503,0.85713685,1.0,ChIJGXZvdP5qiEgRIWPJTNGbCIM,gas_station,Yes
44000042,53.388603,-2.857723,101.0028649,1.003609573,1.0,ChIJud0TqLwfe0gRZVkLinJLV9M,convenience_store,Yes
44000043,54.646116,-5.658312,-62.33491037,3.176299492,1.0,ChIJVbTrjPN1YUgR6_fZ2ppOYUg,gas_station,Yes
44000044,52.681081,-1.805539,82.5449007,-4.302994666,1.0,ChIJaxDof_qncEgRfwNdFw3en-Q,gas_station,Yes
44000045,52.666741,-1.168532,-50.94980464,3.483392503,1.0,ChIJ4Wi2Mm9gd0gRgJ8tELbqets,gas_station,Yes
44000046,52.621762,1.297029,-119.8906811,1.51573501,1.0,ChIJSZNzOOXj2UcRv4SC1qf501g,gas_station,Yes
44000047,55.823055,-4.168754,7.791568821,1.267325624,1.0,,,Yes
44000049,51.195018,-1.769901,-127.3061098,-3.020665585,1.0,ChIJZRfReLjlc0gR_B3yTOXZ8cQ,gas_station,Yes
44000051,51.904106,0.193274,342.18,-1.1,1.0,ChIJlz-0JX2P2EcRzwllEfa3j4I,gas_station,Yes
44000052,53.084372,-2.973881,-14.46278328,-6.202304658,1.0,ChIJ6frXLebGekgROwaU62bu5n4,gas_station,Yes
44000053,51.522144,0.068862,159.9069934,0.105262871,2.0,ChIJY1BEFSKm2EcR-9fa5mC05ss,gas_station,Yes
44000054,55.938499,-3.403147,-186.7760754,3.344141033,2.0,ChIJo1CcUNXah0gR2bTQml991UM,gas_station,Yes
44000056,53.414574,-2.532019,-92.55294477,-1.151668045,1.0,ChIJgyXyrQUBe0gR8yTY37rNXTo,gas_station,Yes
44000057,51.328399,-0.271064,92.55543791,3.988735556,1.0,ChIJscUX_xjidUgR23vbnuiMCzg,gas_station,Yes
44000058,55.723386,-2.756979,283.6594278,1.622826879,1.0,ChIJld5F01-dh0gRgidEW1RsFVs,gas_station,Yes
44000059,55.898479,-3.637308,-73.70797779,4.231869012,2.0,ChIJvwriUafYh0gRYiL56INVE8k,gas_station,Yes
44000060,55.944121,-3.067957,75.28624325,2.757872819,1.0,ChIJV4ovJIK5h0gRDGMwFlzVqsE,gas_station,Yes
44000062,55.984743,-3.401764,-118.2010483,3.494844426,1.0,ChIJ0ed45_rPh0gR51dS_oLq59k,gas_station,Yes
44000064,51.609436,-0.046341,-32.14582139,4.18213411,1.0,ChIJjWinVn0edkgRiAqquW5lAAU,gas_station,Yes
44000065,51.17515,-0.02058,-145.8922274,-1.895780674,1.0,ChIJ9_arifT3dUgRNizYO4wk3Zo,gas_station,Yes
44000066,51.491333,-0.282742,-75.34294454,-0.743572985,1.0,ChIJLzJMckQOdkgRZI_Vu4Zhmio,gas_station,Yes
44000067,51.474813,-0.392873,58.68319516,3.668569395,1.0,ChIJ8zQQHtlydkgRsQDp2iQXlxc,gas_station,Yes
44000069,50.734156,-3.480898,80.42521343,-2.27717221,2.0,ChIJC-5g7pSjbUgR-s2dVafEI3M,gas_station,Yes
44000070,53.076321,-1.155224,166.5528766,0.24927573,2.0,ChIJpwVK2qm_eUgRhZVWWZas9hY,gas_station,Yes
44000071,52.387433,-1.258191,-157.1804988,3.124509315,1.0,ChIJGZTUoNxAd0gRVpWQSWwV7yA,gas_station,Yes
44000072,51.866757,-0.433649,7.439777842,4.063404338,1.0,ChIJxdyxZ4lIdkgR-_-MmBxuCiI,gas_station,Yes
44000073,51.477763,0.318768,-42.90888358,5.338335702,1.0,ChIJjZaBiwO32EcR8uEnYb1lQ6Y,car_repair,Yes
44000074,54.777762,-6.562824,-94.75738487,1.309227021,1.0,ChIJqb4PDy5bYEgRBxMrx-58PUA,gas_station,Yes
44000075,56.151267,-3.85758,-112.5783571,2.553468657,2.0,ChIJG6X5hYOHiEgRTwmZiOJmeSM,gas_station,Yes
44000076,55.465036,-4.288897,175.8287659,-3.41286437,1.0,ChIJM1IuQIYoiEgRjCkdseYvupw,gas_station,Yes
44000077,54.985226,-6.686684,73.27815427,2.091041291,1.0,ChIJ6-dYGz0_YEgRG6w7ylpixWw,gas_station,Yes
44000079,51.597274,-2.999225,-73.75946412,2.953829086,1.0,ChIJrRZHNtHmcUgRfFpJ2nxBD60,gas_station,Yes
44000080,54.508798,-6.033621,83.57199648,2.580418676,1.0,ChIJnyaJ91kEYUgRAW5JnvMFVLg,gas_station,Yes
44000081,51.414414,-0.182287,-92.69564781,-1.959121524,1.0,ChIJ3zhxBRwGdkgR4XI87pQJFhg,gas_station,Yes
44000083,51.50163,-0.479244,-48.0374673,-2.417255938,1.0,ChIJK1vnRbBxdkgRGPSlHUPn4Hc,gas_station,Yes
44000084,55.502091,-4.609997,3.60862787,1.806242515,1.0,ChIJU-uMSfLTiUgROF1MixjNxvg,gas_station,Yes
44000085,55.889962,-4.185467,24.55949233,-3.623627702,1.0,ChIJpY0LErlDiEgRWIVmxYv-iPs,gas_station,Yes
44000088,52.896275,-1.472222,-112.3232975,-3.802214351,1.0,ChIJhZD5iejweUgRk7X9N4EAGXo,gas_station,Yes
44000089,51.631144,0.331273,71.53291222,2.003344101,1.0,ChIJK1S2pAK_2EcRLoMNX5X-YU4,gas_station,Yes
44000091,56.19493,-3.197082,78.01818766,2.696606337,1.0,ChIJqTksOptKhkgR3IMfHMMk_Bw,gas_station,Yes
44000092,53.867368,-1.903407,191.82,1.1,1.0,ChIJKWgqa7zve0gRTdX9fpWi9TQ,gas_station,Yes
44000094,53.814648,-1.603731,-22.81352479,0.502689147,1.0,ChIJfXitlipZeUgRiWG2l-5Plkk,gas_station,Yes
44000095,51.453121,0.026864,86.2721422,1.156351848,1.0,ChIJG8o1OL6p2EcR1MkNUV10nuc,gas_station,Yes
44000096,52.580834,-1.974228,-146.4757634,4.971850301,1.0,ChIJFWM56hKicEgRheQA1tJ2i3c,gas_station,Yes
44000097,51.880513,0.171545,-31.66058571,-0.385014174,1.0,ChIJlyRUtXGF2EcR8cVUdL5aq2U,gas_station,Yes
44000098,51.377813,0.011085,-155.5535438,0.861305617,1.0,ChIJP-yfu5qq2EcRzsawjFszyqc,gas_station,Yes
44000099,51.915563,-2.580025,26.09241133,3.922547254,1.0,ChIJh3NEBi-ycUgRIydE4syyNtA,gas_station,Yes
44000100,55.930009,-3.25632,-148.5601451,1.855299485,1.0,ChIJOwtFrvPGh0gRA-OFrdo4-AI,gas_station,Yes
44000101,53.793369,-1.43264,151.0467475,-0.255906952,1.0,ChIJ-fb7BThDeUgR35hfMFIxrwA,gas_station,Yes
44000103,51.576049,0.178671,-70.0396681,6.917772842,1.0,ChIJ11tYo8mk2EcR7AthNgc8f2Q,gas_station,Yes
44000104,51.381629,-0.283699,24.1811389,3.422250264,1.0,ChIJnV6BoSkKdkgRToAfWMHzQpY,gas_station,Yes
44000105,52.187548,-2.504878,83.86485781,-1.380055942,1.0,ChIJN32OwQZbcEgR6_0yRE-niEY,gas_station,Yes
